"comment_id","video_id","author_name","author_channel_id","comment_text","like_count","published_at","updated_at","reply_count"
"UgxqjMCJ3mKDbEBg09h4AaABAg","30KI5SuECuc","@thanhxuan6231","UCSEuNzc0tRk-eqcRmvt4Cpg","<a href=""https://www.youtube.com/watch?v=30KI5SuECuc&amp;t=1380"">23:00</a>pm<br>Hôm nay ngày 14/7/2019 <br>Còn ai không?","862","2019-07-14T15:56:57Z","2019-07-14T15:56:57Z","43"
"UgxTg619m7lCMISiFCJ4AaABAg","30KI5SuECuc","@phamluong4073","UCbLln0NcSFKDALSg6mSD1Pg","kiểu gì 2021 sẽ có đứa nói có ai còn nghe không. Nên t nói trước 😂","180","2020-11-12T06:54:24Z","2020-11-12T06:54:24Z","2"
"UgyYvdW_jSK17McUH_R4AaABAg","30KI5SuECuc","@fansblackpink8783","UCvYVH1ldJLdd6ayQBPyCy8A","13/10/2019 còn ai nghe xin 1 like <br>👍👍👍👍<br>👇👇👇👇","277","2019-10-13T03:20:06Z","2019-10-13T03:20:06Z","5"
"UgyU5N-dpMwH5nZvo294AaABAg","30KI5SuECuc","@origamingvn4294","UCFe5NWQM5qashS4-XWfUBzQ","2025 r mà h vẫn hot quá SẾP MÃI ĐỈNHHHHHHHH ❤❤❤","0","2025-10-08T11:15:55Z","2025-10-08T11:15:55Z","0"
"UgzPYR2qUQ-RmDSTOpB4AaABAg","LCyo565N_5w","@Sontungmtp","UClyA28-01x4z60eWQ2kiNbA","Hãy tận hưởng món quà đầu tiên mà Tùng dành đến cho tất cả mọi người trong chuỗi dự án to bự mang tên SKY DECADE nhé ….. QUÀ NHẸ NHÀNG VUI VẺ ! <a href=""http://yt3.piee.pw/4gzddn"">http://yt3.piee.pw/4gzddn</a><br>🌻🌻🌻<br>Chúc mừng một thập kỷ của SKY …","4131","2022-10-06T15:54:46Z","2022-10-06T15:54:46Z","134"
"UgyxbJlzDy3a9W6cnGd4AaABAg","LCyo565N_5w","@tengteng6722","UCuCIh28ye0P1Z7fK80m5n-g","Ai còn ở đây chắn chắn 100% là một sky chân chính","11017","2021-07-12T12:00:34Z","2021-07-12T12:00:34Z","774"
"UgibatZlg1G633gCoAEC","LCyo565N_5w","@LindieBotes","UCjVwBKqRh8ckPWhfD5UDKcg","Thanks for english subs! Toi la nguoi nam phi va toi rat thich m-tp!","12164","2016-01-07T13:06:22Z","2016-01-07T13:06:22Z","344"
"Ugz8JkqK0w1BgkxxRJF4AaABAg","LCyo565N_5w","@hathanh8696","UC6kFaBXUgbZAsvW6NtWVRlA","<b>Lượtlike dạonày tăngnhanh</b><br><b>Siêuphẩm sốngmãi với thờigian</b><br><b>Đã hơn4năm, nghe vẫn thấy hiện đại</b>","769","2020-05-17T05:51:41Z","2020-05-18T23:20:57Z","9"
"Ugy9aA-mnbx2tMgE7AB4AaABAg","LCyo565N_5w","@nguyenanhnguyen3147","UCUpx_3-O4Y-IL_Dm2Fej0-w","SAO HANOI Thanh Nhàn 😊🎉","0","2026-01-07T11:35:31Z","2026-01-07T11:35:31Z","0"
"UgxHBYSh5vGCvni-GmF4AaABAg","LCyo565N_5w","@xuhuongtiktok7802","UCAg6R00aL8ROauekr9-ZLWQ","Dù đã lâu nhưng nghe vẫn rất hiện đại, âm nhạc vượt thời gian là đây ạ","3687","2020-05-10T12:44:18Z","2020-05-10T12:44:18Z","60"
"UgzAHFWZdCP6KqU9Rwd4AaABAg","LCyo565N_5w","@biibii643","UC4kLUnyHI4T3d_S9gTRiXZw","Mùa corona không biết có ai nghe không!!!:)))","6595","2020-02-21T01:24:38Z","2020-02-21T01:24:38Z","154"
"UgzA-EqvVUPSW_sQaGh4AaABAg","LCyo565N_5w","@congthanh4727","UC-8ELNI9w89-6rpBrTLqFog","Giờ còn nghe bài này chỉ có fan siêu cứng của Sếp thôi","1143","2020-12-04T23:00:01Z","2020-12-04T23:00:01Z","92"
"UgynUy4igLB6FTxFQzN4AaABAg","LCyo565N_5w","@mocmoc7793","UC4E_BAsx8DREk8hJdrXqv9g","Buông bàn tay.. <br>Buông xuôi hi vọng... <br>Buông bình yên... <br>Buông.......","338","2020-05-02T00:22:27Z","2020-05-04T15:17:18Z","8"
"UgyFVJ34acojUa6qyeB4AaABAg","LCyo565N_5w","@duydev02","UCIlt0SQzKALYzMkeCW2Px_w","MCK đã đưa tôi về đây, nghe lại trong tôi gợi nhớ bao kỷ niệm, gần 10 năm rồi mà vẫn quá đỉnh.","1185","2025-07-27T17:01:44Z","2025-07-27T17:02:05Z","12"
"UgyVVaP3SA-qzFgD_VR4AaABAg","LCyo565N_5w","@huynh5020","UC10ClRKJMFl9n_lZuYsSH9w","Cố lên 100m chúc mừng sinh nhật Tùng luôn mn ơi","3277","2020-06-28T04:41:37Z","2020-06-28T04:41:37Z","128"
"Ugwf2wcWltU5keL-S6x4AaABAg","LCyo565N_5w","@Thuwna","UC7v9-9ubkz8NOZdtMM95Rdg","Còn cánh tay nào ở đây không ạ, 2 tháng nữa là Tết 2026 rồi!!!","80","2025-12-09T08:35:55Z","2025-12-09T08:35:55Z","5"
"UgyVGqkptDFCQE5r4NZ4AaABAg","LCyo565N_5w","@TrungNguyen-xg5lz","UCZhafOIs3PHUdR9ZRY9vAAg","Bây giờ rất nhiều nghệ sĩ trẻ nổi lên.nhung vẫn k thấy ai chất như nước cất giống A Tùng.","369","2020-03-10T05:37:47Z","2020-03-10T05:37:47Z","4"
"Ugw3oMCm9G-eXIXGJVl4AaABAg","LCyo565N_5w","@kohakutakitori8888","UCPa_CC2Su2_yn0sIwypchBQ","100m thẳng tiếnnnnn!!!!!! 5ting 5ting🤘🤘🤘","355","2019-05-23T12:27:45Z","2019-05-23T12:27:45Z","5"
"UgzQ0trhhl3iNwgwDiZ4AaABAg","LCyo565N_5w","@chriscreation79","UCmiUcugU0MXxYtO4XxTI0UA","Don&#39;t understand everything he says because of language, but.. I understand love","292","2020-06-29T21:09:28Z","2020-06-29T21:09:28Z","4"
"UgwZUh4KsuqSQkHSduF4AaABAg","LCyo565N_5w","@bongdaMUesportT1","UCKZxVMvBvy0WRnHDFh4rABQ","7/10/2025 <br>hẹn gặp lại sau nhiều năm nửa ❤","3","2025-10-06T21:28:05Z","2025-10-06T21:28:05Z","0"
"UgyejbhaZpixg3mjJuV4AaABAg","LCyo565N_5w","@nguyenthituanh2507","UCvKnSDLbKxPsNJq2Q9c50gg","Từ MCK qua đây, 9 năm rồi cảm xúc không thay đổi","492","2025-07-28T01:18:41Z","2025-07-28T01:18:41Z","2"
"Ugxg4KqSEyMK-iVPST54AaABAg","LCyo565N_5w","@tenminhkhoncodainhaungnoit8020","UCniXOo_va5ESjE1izfwM9YQ","2019 ai còn nghe bài nhạc này của sơn tùng điểm danh (nhạc này hãy quá)","2729","2019-07-17T10:13:02Z","2019-07-17T10:13:02Z","75"
"UgxrseWQVGJd4GwYl6Z4AaABAg","LCyo565N_5w","@felixlee589","UCJOGFutJ003dJHFRB6P8iFg","<b>Only 3M more to hit 100M</b><br><b>Only 3M more to hit 100M</b><br><b>Only 3M more to hit 100M</b><br><b>Ok, let&#39;s goooo</b>","447","2020-05-06T22:28:50Z","2020-05-20T03:52:03Z","7"
"UgzO1H_Pg9Qsl2mXpll4AaABAg","LCyo565N_5w","@nangkiniem283","UCTKRmrUIjkwpUqr6zlptzew","10/2025 chào sky nhé. Mãi thương Tùng","2","2025-10-15T13:34:06Z","2025-10-15T13:34:06Z","0"
"UghPdwc4H1Qz8HgCoAEC","LCyo565N_5w","@wayo__pha_kit_mingtee_tae8176","UC2EqQpkrFGSsO4rEL6DJC6A","Buông đôi tay nhau ra vì chúng ta không thuộc về nhau nên anh sẽ lạc trôi","966","2017-01-02T08:51:28Z","2017-01-02T08:51:28Z","43"
"UgxEJJM0S-Sm3cOAbEJ4AaABAg","LCyo565N_5w","@longphamthanh7457","UC2v4es1QIlBVEvKXP9EZYRw","liêu giờ này ai còn nge ko <br> vẫn cứ là mãi đỉnh <br>ae sky đâu hết rồi tay đâu tay đâu","354","2021-05-10T15:14:48Z","2021-05-10T15:14:48Z","6"
"UgyYj0D3UiG4Lq05MQh4AaABAg","LCyo565N_5w","@_VoNgocXuanHuong","UC4d1_WRoDbDwft88DCnkdbg","I&#39;m here to wait this MV reaches 100 milions","131","2020-06-28T15:21:42Z","2020-06-28T15:21:42Z","0"
"UgzJnExrFbdTVByHi-F4AaABAg","LCyo565N_5w","@HaiYen205-xyz","UC0YP2mxUI6PLsAVTUPPmlQQ","Ơ mỗi năm vào lần😂😂2026","5","2026-01-03T15:43:11Z","2026-01-03T15:43:11Z","0"
"UgzXu9aThixuRyxQIgN4AaABAg","LCyo565N_5w","@truongquangy","UCESK0-RJSxA_mPEkZZCgtkw","Nhiệm vụ 100M trước sinh nhật Tùng đã hoàn thành","500","2020-07-04T06:59:14Z","2020-07-04T06:59:14Z","7"
"UgxJmlGl_k3uT6IOrYt4AaABAg","LCyo565N_5w","@Fan_liuchenyanggg","UCJ-rJQIiUHQUWnkcKn8mdPg","Chủ tịch “Buông đôi tay nhau ra”<br>Kay “ Nắm đôi bàn tay”","540","2021-07-04T12:02:14Z","2021-07-04T12:02:14Z","6"
"Ugwqw-2VVnHoKUXl0OZ4AaABAg","LCyo565N_5w","@thutrang3172","UCWH2M0bxUjn3N7f_bG_Y52w","Nhạc anh Tùng không bao giờ là lỗi thời🥰🥰","1147","2021-06-13T05:06:29Z","2021-06-13T05:06:41Z","10"
"Ugzctd1cUK-c5vuIOQR4AaABAg","LCyo565N_5w","@MinhPhan-z5u","UCJ28z8wLVgX6-6YV5rki_iw","Nhạc cổ 10 năm đến nơi rồi vẫn phiêu vãi lollllll :))))))))))","1","2025-10-08T12:18:05Z","2025-10-08T12:18:05Z","0"
"UgxedLQIPS3xLDNNRRV4AaABAg","LCyo565N_5w","@Shinnnnn28","UChBeS8_JGjBa2nprGhB4vmg","Cả thế giới đang gồng mình chống chọi với Corona. <br>Mình thì ngồi nghe lại những bài nhạc cũ. Nhưng cảm giác vẫn nguyên vẹn như lúc đầu.","536","2020-03-07T05:55:48Z","2020-03-07T05:55:48Z","13"
"UgxjAm-7OHMSuAkTxth4AaABAg","LCyo565N_5w","@leetrongj3309","UC_SjPrfOYT_M6yxgpv-1qYw","cao hơn cả núi, dài hơn cả sông, rộng hơn cả đất, xanh hơn cả trời, sky yêu Tùng thế thôi<br>chỉ thế thôi :))","312","2020-04-08T08:27:40Z","2020-04-08T08:27:40Z","6"
"Ugzpn8eteje63yVYFad4AaABAg","LCyo565N_5w","@nqocme2020","UC9XfMwT0C2bmasqkKp_rYCg","2021 vẫn còn nghe lại. Phong độ là nhất thời đẳng cấp của ST M-TP là mãi mãi ^^","1252","2021-09-14T06:44:58Z","2021-09-14T06:44:58Z","17"
"UgxEKlNvwADvWNYSjzJ4AaABAg","LCyo565N_5w","@truongbakery2441","UCywrl32NRYAcEJddJntT4hw","Đoạn khóc ánh mắt mắt chi pu rất tốt luôn á tr","2","2025-08-29T05:44:44Z","2025-08-29T05:44:44Z","0"
"UgyO1ZLUOHGQegr2QuF4AaABAg","LCyo565N_5w","@HuongNguyen-ug3nr","UCL7DIxLzf4ZNog_D5kcDjSg","100M trước khi &quot;có chắc yêu là đây&quot; phát hành nha Sky....","164","2020-06-30T03:01:44Z","2020-06-30T03:01:44Z","9"
